id,Primary Text,Guidance,isHeading,parentBinding,module,Artifact Type
2908,"'---------------------------------------------------------------------------------------
| Criteria     | Solution Candidate #1 | Solution Candidate #2 | Solution Candidate #n |
---------------------------------------------------------------------------------------
| Criterion #1 | Weighted MoE          | Weighted MoE          | Weighted MoE          |
---------------------------------------------------------------------------------------
| Criterion #2 | Weighted MoE          | Weighted MoE          | Weighted MoE          |
---------------------------------------------------------------------------------------
| Criterion #n | Weighted MoE          | Weighted MoE          | Weighted MoE          |
---------------------------------------------------------------------------------------
| Total        | Sum of Weighted MoEs  | Sum of Weighted MoEs  | Sum of Weighted MoEs  |
---------------------------------------------------------------------------------------

 ","","","","",Information
2958,Introduction,This section should provide an overview of the entire document and a description of the scope of the software.,"","","",Heading
2964,Replace Text,"","","","",Stakeholder Requirement
3067,Specific requirements,"Specific requirements should be described in this section, which is the core of the Stakeholder Requirements Specification. The acceptability of the software will be assessed with respect to the specific requirements.","","","",Heading
2876,Trade Study Data,"","","","",Heading
3095,Assumption / dependency 1,"","","","",Vision Statement
2838,"Definitions Acronyms, and Abbreviations","Ideally this information shouild be held in a central Glossary. In some cases it may be felt necessary to include it here, though we would discourage this practice and recommend information is imported from the Glossary through reporting as needed.","","","",Heading
3015,User/Patient/Clinical Needs,"","","","",Heading
3008,Solution Candidates,"","","","",Heading
2767,Replace Text,"","","","",Information
2888,Replace Text,"","","","",Information
3104,Weighted MoE,"","","","",Trade Study Assessment Criterion
2752,Safety Requirements,"Specify those requirements that are concerned with possible loss, damage, or harm that could result from the use of the product. Define any safeguards or actions that must be taken, as well as actions that must be prevented. Refer to any external policies or regulations that state safety issues that affect the product’s design or use. Define any safety certifications that must be satisfied.","","","",Heading
2907,Replace Text,"","","","",Information
3002,Portability Requirements,"","","","",Heading
3012,Physical/Chemical Characteristics,"","","","",Heading
2931,"'--------------------------------------------------------------------------------------------
| Probability of Detection                                              | Weight | Risk     |
|                                                                       |        |          |
--------------------------------------------------------------------------------------------
| Used on patient and hazard is not detected by user                    | 1      | High     |
|                                                                       |        |          |
--------------------------------------------------------------------------------------------
| Used on patient and hazard is detected by user                        | 0.4    | Moderate |
|                                                                       |        |          |
--------------------------------------------------------------------------------------------
| User detects before use on patient during set up                      | 0.2    | Medium   |
|                                                                       |        |          |
--------------------------------------------------------------------------------------------
| Identified by customer prior to set up in room                        | 0.1    | Low      |
|                                                                       |        |          |
--------------------------------------------------------------------------------------------
| Detected prior to shipping product to customer by design              | 0.05   | Very Low |
|verification, pre-production, process validation, pilot production or  |        |          |
|manufacturing inspections                                              |        |          |
|                                                                       |        |          |
--------------------------------------------------------------------------------------------","","","","",Information
3003,Project Scope,"Provide a short description of the system (or subsystem) being specified and its purpose, including relevant benefits, objectives, and goals. If a separate stakeholder requirements document is available, refer to it rather than duplicating its contents here.","","","",Heading
2960,Replace Text,"","","","",Information
2983,Replace Text,"","","","",System Requirement
2756,Criterion #n,"","","","",Trade Study Assessment Criterion
3061,Replace Text,"","","","",Stakeholder Requirement
2930,Replace Text,"","","","",Information
2797,Resource Requirements,"","","","",Heading
2871,Human-computer interactions (user interfaces),"","","","",Heading
2770,S,"","","","",Heading
2935,Replace Text,"","","","",Information
3033,Sum of Weighted MoEs,"","","","",Trade Study Assessment Criterion
3020,Replace Text,"","","","",System Requirement
3043,Intended Use,"","","","",Heading
2833,Replace Text,"","","","",System Requirement
3000,Other Product Requirement 1,"","","","",Vision Statement
3074,Replace Text,"","","","",Information
3094,"","","","","",FMEA - Object
3045,Replace Text,"","","","",Information
2782,"This Documentation can be used to help Licensee meet compliance obligations, which may be based on laws, regulations, standards or additional practices. Any directions, suggested usage, or guidance provided by this Documentation does not constitute legal, accounting, or other professional advice, and Licensee is cautioned to obtain its own legal or other expert counsel. Licensee is solely responsible for ensuring that Licensee and Licensee's activities, applications and systems comply with all applicable laws, regulations, standards and practices. Use of this Documentation does not guarantee compliance with any law, regulation, standard or additional practice. This Documentation is designed to aid in the development of software applications and systems.  Licensee is solely responsible for the applications and systems that it develops by using this Documentation and assumes all risk and responsibility therefor.","","","","",Information
2805,Quality Requirements,"","","","",Heading
2971,Physical/Chemical Characteristics,"","","","",Heading
2745,Replace Text,"","","","",System Requirement
2979,Replace Text,"","","","",System Requirement
2923,Replace Text,"","","","",Information
2898,Replace Text,"","","","",System Requirement
2740,Replace Text,"","","","",System Requirement
3081,Interface Requirements,"","","","",Heading
2728,Relation to Current Products,"","","","",Heading
2769,Replace Text,"","","","",System Requirement
3088,"","","","","",Trade Study Assessment Criterion
2909,Capability Requirements,"The organization of the capability requirements should reflect the problem, and no single structure will be suitable for all cases.","","","",Heading
3055,Acceptance Testing Requirements,"","","","",Heading
3064,Replace Text,"","","","",System Requirement
2739,Replace Text,"","","","",System Requirement
2992,Replace Text,"","","","",System Requirement
3013,"Definitions Acronyms, and Abbreviations","Ideally this information shouild be held in a central Glossary. In some cases it may be felt necessary to include it here, though we would discourage this practice and recommend information is imported from the Glossary through reporting as needed.","","","",Heading
3035,External Operating Environment,"","","","",Heading
3063,Replace Text,"","","","",Stakeholder Requirement
2848,Internal Architecture,"","","","",Heading
3084,"","","","","",Trade Study Assessment Criterion
3097,<Replace text>,"","","","",Information
2938,Replace Text,"","","","",Information
2922,"","","","","",FMEA - Object
3071,Replace Text,"","","","",Information
2773,Product Position Statement,"[Provide an overall statement summarizing, at the highest level, the unique position the product intends to fill in the market place. A product position statement communicates the intent of the application and the importance of the project to all concerned stakeholders.The following format may be used:]","","","",Heading
2856,Replace Text,"","","","",System Requirement
2830,Replace Text,"","","","",Information
2894,Compatibility with Environment of Intended Use,"","","","",Heading
2731,References,"List any other documents or Web addresses to which this SRS refers. These may include user interface style guides, contracts, standards, system requirements specifications, use case documents, or a vision and scope document. Provide enough information so that the reader could access a copy of each reference, including title, author, version number, date, and source or location.","","","",Heading
2952,Probability of Detection,"","","","",Heading
2734,Functional Requirements,"This template illustrates organizing the functional requirements for the product by system functions, the major services provided by the product. You may prefer to organize this section by use case, mode of operation, user class, object class, functional hierarchy, or combinations of these, whatever makes the most logical sense for your product.","","","",Heading
2977,Product Features,"Summarize the major features the product contains or the significant functions that it performs or lets the user perform. Details will be provided in Section 3, so only a high level summary is needed here. Organize the functions to make them understandable to any reader of the specification. A picture of the major groups of related requirements and how they relate, such as a top level data flow diagram or a class diagram, is often effective.","","","",Heading
3059,Purpose,"Identify the product whose requirements are specified in this document, including the revision or release number. Describe the scope of the product that is covered by this SRS, particularly if this SRS describes only part of the system or a single subsystem.","","","",Heading
2778,"'------------------------------------------------
| Probability of Occurrence | Weight | Risk     |
|                           |        |          |
------------------------------------------------
| >1 in 100 units sold      | 1      | High     |
|                           |        |          |
------------------------------------------------
| >1/1000                   | 0.4    | Moderate |
|                           |        |          |
------------------------------------------------
| >1/10,000                 | 0.2    | Low      |
|                           |        |          |
------------------------------------------------
| >1/100,000                | 0.1    | Very Low |
|                           |        |          |
------------------------------------------------
| <1/100,000                | 0.05   | Rare     |
|                           |        |          |
------------------------------------------------","","","","",Information
2765,Replace Text,"","","","",Information
2867,<Replace text>,"","","","",Information
2792,Replace Text,"","","","",Information
2809,Nonfunctional Requirements,We have provided a typical set of sections. The structure and content of this section should be amended as necessary,"","","",Heading
2981,Replace Text,"","","","",Information
2844,Replace Text,"","","","",Information
2869,System approvals and standards,"","","","",Heading
2746,Overall Description,"","","","",Heading
2726,General Capabilities,"This section should describe the main capabilities and why they are needed. This section should describe the process to be supported by the software, indicating those parts of the process where it is used.","","","",Heading
2911,Replace Text,"","","","",Information
2950,Replace Text,"","","","",Information
2747,Positioning,"","","","",Heading
2749,Replace Text,"","","","",System Requirement
2768,User Classes and Characteristics,"Identify the various user classes that you anticipate will use this product. User classes may be differentiated based on frequency of use, subset of product functions used, technical expertise, security or privilege levels, educational level, or experience. Describe the pertinent characteristics of each user class. Certain requirements may pertain only to certain user classes. Distinguish the favored user classes from those who are less important to satisfy. This section is not needed in all cases, for example if a subsystem has no users and is entirely internal to a larger system.","","","",Heading
2885,Replace Text,"","","","",System Requirement
2766,Acceptance Testing Requirements,"","","","",Heading
2874,Replace Text,"","","","",System Requirement
2969,Operational Scenarios,"","","","",Heading
2791,User Acceptance Testing Requirements,"","","","",Heading
3021,Replace Text,"","","","",Stakeholder Requirement
2864,Product perspective statement 1,"","","","",Vision Statement
2860,Weighted MoE,"","","","",Trade Study Assessment Criterion
2917,Replace Text,"","","","",Information
3087,Replace Text,"","","","",System Requirement
2743,Solution Candidate #n,"","","","",Trade Study Assessment Criterion
3037,Risks,"Use this section to document the identified risks. Add structure to the section as appropriate. Each entry defines one risk and has attributes or links for:
- Requirements affected (by linking)
- Potential failure mode
- Effect of failure (main contents)
- Potential cause(s) / mechanism(s) of failure
- Severity
- Probability of detection if occurring
- Probability of occurrence
- Risk Priority Number (calculated using a script from severity, detection and occurrence)
- Mitigating requirements (link)
- New severity, detection, probability and RPN if mitigated

Mitigation activity should be managed in a work management tool","","","",Heading
3080,Replace Text,"","","","",System Requirement
2807,Documentation Requirements,"","","","",Heading
3051,"","","","","",FMEA - Object
2877,"","","","","",Trade Study Assessment Criterion
2827,Resource Requirements,"","","","",Heading
2736,General Description,"","","","",Heading
2849,Assessment Criteria,<The following sections capture the assessment criteria and associated weights and utility curves for the parent Key System Function. A table could be used instead of sections to capture this information>,"","","",Heading
2997,User Characteristics,"","","","",Heading
2812,Replace Text,"","","","",System Requirement
3005,"Definitions Acronyms, and Abbreviations","","","","",Heading
3070,Replace Text,"","","","",System Requirement
2961,User End States,"","","","",Heading
3085,Replace Text,"","","","",System Requirement
2937,Verification Requirements,"","","","",Heading
2847,Replace Text,"","","","",Information
2776,Replace Text,"","","","",Stakeholder Requirement
2879,Replace Text,"","","","",System Requirement
3039,Replace Text,"","","","",System Requirement
2966,Reliability Requirements,"","","","",Heading
3068,Trade Study Recommendations,<Summarize the results of the trade study for all key system functions and the resulting integrated solution. Identify any resulting constraints on the overall architecture.>,"","","",Heading
2748,Alternative and competition,"","","","",Information
2811,Criterion #1,"","","","",Trade Study Assessment Criterion
2886,Replace Text,"","","","",Information
2823,Relationship to Predecessor and Successor Products,"","","","",Heading
2949,Replace Text,"","","","",System Requirement
3026,…,"","","","",Trade Study Assessment Criterion
2815,Document Conventions,"Describe any standards or typographical conventions that were followed when writing this SRS, such as fonts or highlighting that have special significance. For example, state whether attributes for higher-level requirements are assumed to be inherited by detailed requirements, or whether every requirement statement is to have its own set of attributes.","","","",Heading
2887,Product Description,"","","","",Heading
3004,Labeling/Packaging,"","","","",Heading
2991,Replace Text,"","","","",System Requirement
2904,Product Features,"Summarize the major features the product contains or the significant functions that it performs or lets the user perform. Details will be provided in Section 3, so only a high level summary is needed here. Organize the functions to make them understandable to any reader of the specification. A picture of the major groups of related requirements and how they relate, such as a top level data flow diagram or a class diagram, is often effective.","","","",Heading
2822,Standards,The stakeholder must describe the standards applicable to the system,"","","",Heading
2939,Materials,"","","","",Heading
2973,Replace Text,"","","","",Stakeholder Requirement
2972,Replace Text,"","","","",System Requirement
2794,"","","","","",FMEA - Object
2775,"","","","","",FMEA - Object
3066,Assumptions and Dependencies,"This section should list the assumptions that the specific requirements are based on. Risk analysis should be used to identify assumptions that may not prove to be valid.
A constraint requirement, for example, might specify an interface with a system that does not exist. If the production of the system does not occur when expected, the Stakeholder Requirements Specification may have to change.","","","",Heading
2953,Materials,"","","","",Heading
2799,Replace Text,"","","","",Information
3024,Replace Text,"","","","",System Requirement
3050,Criteria,"","","","",Trade Study Assessment Criterion
2892,Overview of the Document,"","","","",Heading
3032,Replace Text,"","","","",System Requirement
2982,Replace Text,"","","","",Stakeholder Requirement
2893,Product Overview,"","","","",Heading
3077,Total,"","","","",Trade Study Assessment Criterion
2729,<Replace text>,"","","","",Trade Study Assessment Criterion
3100,Problem Statement,[Provide a statement summarizing the problem being solved by this project. The following format may be used:],"","","",Heading
2738,<Risk 1>,"","","","",Risk
2951,Replace Text,"","","","",Information
2903,Replace Text,"","","","",System Requirement
2945,Replace Text,"","","","",Information
3101,Feature 11,"","","","",Vision Statement
2821,Limits and Tolerances,"","","","",Heading
2803,Design and Implementation Constraints,"Describe any items or issues that will limit the options available to the developers. These might include: corporate or regulatory policies; hardware limitations (timing requirements, memory requirements); interfaces to other applications; specific technologies, tools, and databases to be used; parallel operations; language requirements; communications protocols; security considerations; design conventions or programming standards (for example, if the system contains embedded software).","","","",Heading
2757,Statutory and Regulatory Requirements,"","","","",Heading
2928,Internal Architecture,"","","","",Heading
2959,Maintainability Requirements,"","","","",Heading
2857,Replace Text,"","","","",Information
2855,Replace Text,"","","","",System Requirement
3057,Design and Implementation Constraints,"Describe any items or issues that will limit the options available to the developers. These might include: corporate or regulatory policies; hardware limitations (timing requirements, memory requirements); interfaces to other applications; specific technologies, tools, and databases to be used; parallel operations; language requirements; communications protocols; security considerations; design conventions or programming standards (for example, if the system contains embedded software).","","","",Heading
3054,Limits and Tolerances,"","","","",Heading
2890,Replace Text,"","","","",System Requirement
2818,Security Requirements,Specify any requirements regarding security or privacy issues surrounding use of the product or protection of the data used or created by the product. Define any user identity authentication requirements. Refer to any external policies or regulations containing security issues that affect the product. Define any security or privacy certifications that must be satisfied.,"","","",Heading
2859,"","","","","",FMEA - Object
2913,Overall Description,"","","","",Heading
2819,Compatibility with Environment of Intended Use,"","","","",Heading
2764,Toxicity and Biocompatibility,"","","","",Heading
2957,"","","","","",FMEA - Object
2806,Replace Text,"","","","",Stakeholder Requirement
2924,Documentation Requirements,"","","","",Heading
2891,Human Factors,"","","","",Heading
2863,Product Description,"","","","",Heading
3065,Safety Requirements,"Specify those requirements that are concerned with possible loss, damage, or harm that could result from the use of the product. Define any safeguards or actions that must be taken, as well as actions that must be prevented. Refer to any external policies or regulations that state safety issues that affect the product’s design or use. Define any safety certifications that must be satisfied.","","","",Heading
2781,CRRRS4242E This content cannot be exported because it contains malformed text or hyperlinks.,[This table is stored as a Microsoft Word OLE object. Double click twice on the table in order to edit the contents.],"","","",Vision Statement
2962,Constraint requirements,"Constraint requirements may cover any topic that does not directly relate to the specific capabilities the stakeholders require.
Requirements that ensure the software will be fit for its purpose should be stated, for example in the following examples sections:","","","",Heading
2800,Performance Characteristics,"","","","",Heading
2873,"","","","","",FMEA - Object
2955,Relationship to Predecessor and Successor Products,"","","","",Heading
2862,Safety,The stakeholder must describe the safety needs for the system,"","","",Heading
3048,Performance Requirements,"","","","",Heading
3053,Toxicity and Biocompatibility,"","","","",Heading
3046,Replace Text,"","","","",Information
3096,External Operating Environment,"","","","",Heading
2826,Electromagnetic Compatibility (EMC),"","","","",Heading
2985,Product Perspective,"Describe the context and origin of the product being specified in this specification. For example, state whether this product is a follow-on member of a product family, a replacement for certain existing systems, or a new, self-contained product. If the specification defines a component of a larger system, relate the requirements of the larger system to the functionality of this system and identify interfaces between the two. A simple diagram that shows the major components of the overall system, subsystem interconnections, and external interfaces can be helpful. Details of the external interfaces should be captured in a separate interface control document that is referenced from this specification for completeness and to simplify interactions with suppliers of interfacing systems.","","","",Heading
2735,Purpose of the Document,"This section should:
(1) define the purpose of the particular Stakeholder Requirements Specification;
(2) specify the intended readership of the Stakeholder Requirements Specification.","","","",Heading
3031,Replace Text,"","","","",Stakeholder Requirement
2918,Replace Text,"","","","",Information
2861,"","","","","",FMEA - Object
3092,Replace Text,"","","","",Information
2839,Replace Text,"","","","",Stakeholder Requirement
3028,Quality Requirements,"","","","",Heading
2954,Feature 12,"","","","",Vision Statement
2730,<Replace text>,"","","","",System Function
3090,Replace Text,"","","","",Stakeholder Requirement
2750,Replace Text,"","","","",System Requirement
2825,Replace Text,"","","","",System Requirement
2976,Assumptions and Dependencies,"List any assumed factors (as opposed to known facts) that could affect the requirements stated in the SRS. These could include third-party or commercial components that you plan to use, issues around the development or operating environment, or constraints. The project could be affected if these assumptions are incorrect, are not shared, or change. Also identify any dependencies the project has on external factors, such as components that you intend to reuse from another project, unless they are already documented elsewhere (for example, in the vision and scope document or the project plan).","","","",Heading
2845,"","","","","",FMEA - Object
3073,Document Conventions,"Describe any standards or typographical conventions that were followed when writing this SRS, such as fonts or highlighting that have special significance. For example, state whether attributes for higher-level requirements are assumed to be inherited by detailed requirements, or whether every requirement statement is to have its own set of attributes.","","","",Heading
2753,Assumptions and Dependencies,"List any assumed factors (as opposed to known facts) that could affect the requirements stated in the SRS. These could include third-party or commercial components that you plan to use, issues around the development or operating environment, or constraints. The project could be affected if these assumptions are incorrect, are not shared, or change. Also identify any dependencies the project has on external factors, such as components that you intend to reuse from another project, unless they are already documented elsewhere (for example, in the vision and scope document or the project plan).","","","",Heading
2834,Reliability Requirements,"","","","",Heading
2741,Replace Text,"","","","",Stakeholder Requirement
2790,Alternatives and Competition,"[Identify alternatives the stakeholder perceives as available. These can include buying a competitor’s product, building a homegrown solution, or simply maintaining the status quo. List any known competitive choices that exist or may become available. Include the major strengths and weaknesses of each competitor as perceived by the stakeholder or end user.]","","","",Heading
2902,Weighted MoE,"","","","",Trade Study Assessment Criterion
